ticker,fund_name,current_map,expected,status,confidence
CPNJ US,CALAMOS NASDAQ - 100 STRUCTURED ALT PROTECTION ETF - JUNE,Buffer,,UNCLEAR,LOW
CPNM US,CALAMOS NASDAQ 100 STRUCTURED ALT PROTECTION ETF - MARCH,Buffer,,UNCLEAR,LOW
CPNQ US,CALAMOS NASDAQ 100 STRUCTURED ALT PROTECTION ETF - DECEMBER,Buffer,,UNCLEAR,LOW
CPNS US,CALAMOS NASDAQ - 100 STRUCTURED ALT PROTECTION ETF - SEPTEMBER,Buffer,,UNCLEAR,LOW
CPRA US,CALAMOS RUSSELL 2000 STRUCTURED ALT PROTECTION ETF - APRIL,Buffer,,UNCLEAR,LOW
CPRJ US,CALAMOS RUSSELL 2000 STRUCTURED ALT PROTECTION ETF - JULY,Buffer,,UNCLEAR,LOW
CPRO US,CALAMOS RUSSELL 2000 STRUCTURED ALT PROTECTION ETF - OCTOBER,Buffer,,UNCLEAR,LOW
CPRY US,CALAMOS RUSSELL 2000 STRUCTURED ALT PROTECTION ETF - JANUARY,Buffer,,UNCLEAR,LOW
CPSA US,CALAMOS S&P 500 STRUCTURED ALT PROTECTION ETF - AUGUST,Buffer,,UNCLEAR,LOW
CPSD US,CALAMOS S&P 500 STRUCTURED ALT PROTECTION ETF - DECEMBER,Buffer,,UNCLEAR,LOW
CPSF US,CALAMOS S&P 500 STRUCTURED ALT PROTECTION ETF - FEBRUARY,Buffer,,UNCLEAR,LOW
CPSJ US,CALAMOS S&P 500 STRUCTURED ALT PROTECTION ETF - JULY,Buffer,,UNCLEAR,LOW
CPSL US,CALAMOS LADDERED S&P 500 STRUCTURED ALT PROTECTION ETF,Ladder,Ladder,OK,HIGH
CPSM US,CALAMOS S&P 500 STRUCTURED ALT PROTECTION ETF - MAY,Buffer,,UNCLEAR,LOW
CPSN US,CALAMOS S&P 500 STRUCTURED ALT PROTECTION ETF - NOVEMBER,Buffer,,UNCLEAR,LOW
CPSO US,CALAMOS S&P 500 STRUCTURED ALT PROTECTION ETF - OCTOBER,Buffer,,UNCLEAR,LOW
CPSP US,CALAMOS S&P 500 STRUCTURED ALT PROTECTION ETF - APRIL,Buffer,,UNCLEAR,LOW
CPSR US,CALAMOS S&P 500 STRUCTURED ALT PROTECTION ETF - MARCH,Buffer,,UNCLEAR,LOW
CPST US,CALAMOS S&P 500 STRUCTURED ALT PROTECTION ETF - SEPTEMBER,Buffer,,UNCLEAR,LOW
CPSU US,CALAMOS S&P 500 STRUCTURED ALT PROTECTION ETF - JUNE,Buffer,,UNCLEAR,LOW
CPSY US,CALAMOS S&P 500 STRUCTURED ALT PROTECTION ETF - JANUARY,Buffer,,UNCLEAR,LOW
DAPR US,FT VEST U.S. EQUITY DEEP BUFFER ETF - APRIL,Buffer,Buffer,OK,HIGH
DAUG US,FT VEST U.S. EQUITY DEEP BUFFER ETF - AUGUST,Buffer,Buffer,OK,HIGH
DDEC US,FT VEST US EQUITY DEEP BUFFER ETF - DECEMBER,Buffer,Buffer,OK,HIGH
